pa_name,clip,PA,N,S,R,F,dataset
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_105,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,40.19,32.10,1.44,0.10,0.86,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_106,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,35.82,29.27,1.37,0.08,0.61,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_107,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,35.25,28.15,1.34,0.12,0.67,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_108,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,35.88,29.58,1.40,0.07,0.62,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_109,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,40.08,31.57,1.35,0.29,0.55,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_110,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,38.47,20.51,1.12,0.35,2.71,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_111,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,42.78,32.75,1.22,0.14,0.81,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_112,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,52.27,35.01,1.26,1.06,0.54,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_113,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,41.22,31.97,1.23,0.10,0.76,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_114,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,48.99,32.45,1.19,1.16,0.37,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_115,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,48.67,34.60,1.33,0.73,0.65,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_116,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,39.72,31.29,1.26,0.37,0.27,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_117,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,45.17,38.10,1.40,0.28,0.13,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_118,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,61.25,32.89,1.32,1.96,0.97,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_119,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,44.81,34.69,1.33,0.65,0.13,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_120,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,41.11,34.63,1.47,0.39,0.11,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_121,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,62.20,33.88,1.28,1.82,1.09,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_122,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,44.05,35.42,1.28,0.39,0.12,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_123,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,49.51,29.36,1.52,1.84,0.26,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_124,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,49.06,34.40,1.30,0.75,0.68,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_125,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,43.99,34.54,1.14,0.29,0.09,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_126,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,44.37,31.62,1.37,0.60,0.80,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_127,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,58.59,36.00,1.45,0.75,1.84,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_128,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,37.99,30.59,1.21,0.29,0.06,snoop
