pa_name,clip,PA,N,S,R,F,dataset
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_94,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,29.84,21.46,1.12,0.79,0.03,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_95,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,29.37,20.14,1.16,1.01,0.02,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_96,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,23.62,18.84,1.28,0.43,0.04,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_97,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,24.29,18.79,1.27,0.57,0.01,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_98,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,21.20,16.38,1.19,0.49,0.01,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_99,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,20.19,15.57,1.17,0.44,0.07,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_100,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,26.07,18.39,1.04,0.78,0.04,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_101,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,24.52,17.32,0.83,0.60,0.00,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_102,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,17.48,13.50,1.13,0.44,0.01,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_103,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,17.97,14.37,1.19,0.34,0.02,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_104,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,18.80,14.40,1.16,0.49,0.02,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_105,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,16.21,13.09,1.27,0.35,0.03,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_106,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,17.04,14.35,1.36,0.28,0.01,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_107,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,15.77,13.33,1.26,0.16,0.01,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_108,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,17.32,14.03,1.26,0.33,0.04,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_109,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,17.77,14.00,1.06,0.27,0.01,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_110,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,18.04,14.53,1.10,0.19,0.00,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_111,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,17.93,13.77,1.05,0.34,0.09,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_112,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,25.01,17.79,1.02,0.71,0.05,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_113,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,25.59,18.49,1.06,0.71,0.00,br
